gene,p_val,avg_log2FC,padj
AC112254.1,0.0015266209144867,-1.25364149375421,0.0674603481711314
AC073333.1,0.0005593432259822,-1.25344221403326,0.0421686363048838
MUC6,0.000150041095249,-1.25035978063874,0.0259119527017153
AL512306.3,0.0030926930360818,-1.2478693918521,0.089073991825788
PROSER2,0.0049220570926202,-1.24452747752396,0.108144911187898
GPD1,3.93137365899536E-05,-1.24340484631197,0.0132568228990702
AC124944.3,0.0147703302237776,-1.24017505746661,0.183273267189968
ZBTB46-AS1,0.0234659136174491,-1.23930361245713,0.217220890330936
HGH1,0.0011997848156977,-1.23586219727467,0.0601741082325469
LINC02316,0.0226525257119324,-1.2331510504955,0.214300273458706
TMPRSS11A,0.0019044683445106,-1.23291620147696,0.0746974806235848
AP003392.1,0.0031500729167955,-1.22891608762224,0.089732219495365
VRK2,0.0002692627917397,-1.22858436760292,0.0303424801972711
AL357093.2,0.0004392515471754,-1.22750956154479,0.038104930561708
PRR26,0.0056766559323415,-1.22575744063895,0.115369355856405
LSR,0.0096389792210633,-1.22456081685915,0.148807652486659
TSHR,0.0002684551610245,-1.22095309837603,0.0303424801972711
VCAN-AS1,0.0026903702885439,-1.21952010441606,0.0849732215871166
AC034228.3,0.0083108635338073,-1.21905780814687,0.138811686780652
AC100800.1,0.0175977600067136,-1.21856961898606,0.197904669434868
AC024267.4,0.0197983556331942,-1.21646378349417,0.205234326767578
AL138760.1,0.0002738971636366,-1.21287446747421,0.0303424801972711
AC110760.1,0.0104248533124715,-1.21272043194655,0.153207048313816
LINC00266-1,0.0037315210898139,-1.21087307607227,0.097219354818988
AC009163.1,0.0013779635701227,-1.2106889526993,0.0645896153719777
MYO16-AS1,0.0375564087018023,-1.20913323977998,0.266240655000125
AC055733.2,0.0021588809361134,-1.20873134991088,0.0780448463711846
AL049840.4,0.0202167543979679,-1.20859942895265,NA
C3orf49,0.0028310468218717,-1.20798821410058,0.0863842254967185
ZMYM4-AS1,0.0026094178628459,-1.20720645190538,0.083589590364439
AC104803.1,0.0014996216182576,-1.20709465081449,0.0672341232083888
AL356805.1,0.0070624442979463,-1.20678725768115,0.127655807927638
TUSC7,0.0038814186622727,-1.20649355889884,0.0978531913074826
WDR63,0.0049317875956931,-1.20306991118074,0.108144911187898
LINC01103,0.0014003296643253,-1.20266375863691,0.0651424675629176
AL023584.2,0.0267803670597454,-1.20146645798727,0.230462212321509
C6orf132,0.0327766195495557,-1.19664002844077,0.251744904092677
HSD11B1,0.0021343547345417,-1.1939045025757,0.0776631154153311
RNF125,0.001761650935262,-1.19315494844101,0.0719497923108013
ITPK1-AS1,0.02429873505257,-1.19149258604369,0.220930463330217
AC007384.1,0.0003549332659434,-1.19083334279287,0.0339886360998905
AC011478.1,0.0128368296020231,-1.19067054859292,0.172396907606784
YIF1A,0.0002879657766945,-1.19024004819205,0.031185906812892
DAB1-AS1,0.0454249718624236,-1.18931407689747,0.290780232350001
AC067945.4,0.0219030189003386,-1.18727111629688,0.212525323421188
AC008079.1,0.0012284137324432,-1.18641993980422,0.0609232298214206
A2M,0.0026992599795042,-1.18601563230266,0.0850226479681808
AQP9,0.138830422024083,-1.18573892609091,0.46185353765638
CCN2,2.77876013786689E-06,-1.18516456408851,0.0041688348968348
SPIN2A,0.0016006063821067,-1.18470815162201,0.069189197454114
LINC01791,0.0486348897068309,-1.18379314868104,0.300471489153081
AC104695.4,0.0023098185473723,-1.18267148117172,0.0796621902458694
RAET1E,0.0099034032951449,-1.18207338789161,0.150438937195068
AC105402.4,0.0787885562734255,-1.17880654991851,0.366330159759938
AC107068.2,0.0018298250924926,-1.17827752033048,0.0735320114735369
HELLPAR,2.02208319631618E-05,-1.17802004502057,0.0107069305244942
AL355347.1,0.001497597738023,-1.17474020735547,0.0672341232083888
CD300LF,0.0054211945061717,-1.17429159162491,0.113222464842935
AL031293.1,0.0040027763524214,-1.17414396217522,0.0986449664528762
LINC01894,0.0628029284703593,-1.17309922874011,0.331930825251414
GRM7-AS1,0.0007623900792973,-1.17146378613025,0.0495498505328182
AL136988.2,0.0037056101900185,-1.1704592893772,0.0969575372183957
FOS,0.0297684785263525,-1.1699953103395,0.240044481402052
AL592546.3,0.0408165043084202,-1.16784628746768,0.276752838328725
EDDM13,0.0040404928419841,-1.16652443961669,0.0991021698014176
AL133453.1,0.0004702228492278,-1.1658452265934,0.0395317961516267
AC011933.4,0.0002457637572924,-1.16577505753757,0.0303424801972711
ST7-AS2,0.0021413913400144,-1.16556256545129,0.0776631154153311
AC023389.1,0.0017121151009716,-1.16378138039556,0.0715249639881431
RHEBL1,0.0022727376707045,-1.1636676530266,0.0795124805010585
GJA9,0.0040919046791979,-1.16360574044933,0.0998191869100287
AC092674.1,0.0043983345419681,-1.16146062165908,0.103372345638449
AP001007.1,0.0437382297546522,-1.16064591061293,0.285660657568977
HEATR9,0.0131151441323989,-1.15742920921411,0.174330650194341
AC005856.1,0.0029916200617055,-1.155326177163,0.0880436080748196
AC005828.1,0.0612557401149172,-1.15501800307034,0.329362057316258
DPP4,0.0152525677303844,-1.15442285423789,0.18596629491956
AL133480.1,0.0003262021558069,-1.1531815986046,0.0326143958358099
AP005059.2,0.0588642201394688,-1.15271210016247,0.325071335941981
AC008892.1,0.0005531141229191,-1.15246569680776,0.0420156690080747
AC026888.1,0.0318365980910735,-1.15213846883907,0.247743077656805
AC087190.1,0.0046552493838693,-1.15212200381701,0.10581875588106
AC010275.1,0.0027869517802291,-1.15188299206113,0.0859351087992515
AC083855.2,0.0199694261601237,-1.15102647250559,0.205774455517073
KCNQ5-AS1,0.0198940427691328,-1.15014443094812,0.205716514631073
AC007533.1,0.014279589411991,-1.14999118552714,0.180590008070646
AC013267.2,0.009654354168995,-1.14857163769237,0.148807652486659
IGFL2-AS1,0.0183163484620117,-1.14685976375715,0.199872342064328
HAAO,0.0017590295648057,-1.14676238270943,0.0719497923108013
AC008781.2,0.0266662192391603,-1.14541056610941,0.230139954440366
AC091885.2,0.0011507456683465,-1.14033105340752,0.059531247894374
AC069155.1,0.0364671096292992,-1.13924825774257,0.262534643671304
ANXA13,0.0659631620635634,-1.13695921452192,NA
AL390774.2,0.0128002340109715,-1.13665611469892,0.17222915762296
NRK,0.0328400301579113,-1.13663979768563,0.252011535777015
AC092939.1,0.0015728295265462,-1.13632270218978,0.0685608958024501
AC091132.2,0.0055126101475625,-1.13504658904935,0.114080002156138
AL138787.2,0.0070818028760412,-1.13382499341854,0.127749195568507
AL162394.1,0.0055382948333313,-1.13348399221098,0.114080002156138
AC007292.3,0.0050674470413671,-1.13336280315126,0.109658638250946
C6orf201,0.0388994761684377,-1.13093502521704,0.270653308684142
PHEX,0.0005119024343601,-1.13066750466368,0.040537304062271
AC079226.2,0.0035309807271951,-1.12994377737666,0.0950197997484222
AC018437.3,0.040259139422972,-1.12985428156914,0.274877621475229
GPER1,0.0186746242428266,-1.129505615847,0.201801566774628
AL606534.1,0.0343614095857022,-1.12942888779146,0.25647116781567
GABRG3-AS1,0.0003297128279796,-1.12706742492397,0.0326143958358099
AC004253.1,0.0056519751911001,-1.12633838081081,0.115365656876843
AL512330.1,0.0188547357184284,-1.12630765834263,0.202558941766438
RTL1,0.001909683180897,-1.12512064960531,0.0747391876210644
LINC02585,0.0086816585548611,-1.12508271052713,0.14277007181722
AC026748.3,0.0050677515747138,-1.1247402227785,0.109658638250946
SLC6A1-AS1,0.0038954711938915,-1.12459382769562,0.0978531913074826
AC084361.1,0.0016924655229547,-1.12441168135434,0.0713570417090243
